epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.47.418,14.541,1.184,-0.072,0.019
1.52517E+12,2018-05-01T10.42.47.499,14.622,1.18,-0.095,0.016
1.52517E+12,2018-05-01T10.42.47.579,14.702,1.253,0.359,-0.002
1.52517E+12,2018-05-01T10.42.47.660,14.783,0.984,0.609,0.343
1.52517E+12,2018-05-01T10.42.47.740,14.863,1.002,-0.093,0.129
1.52517E+12,2018-05-01T10.42.47.821,14.944,0.71,0.015,0.189
1.52517E+12,2018-05-01T10.42.47.903,15.026,0.793,0.229,0.237
1.52517E+12,2018-05-01T10.42.47.984,15.107,0.813,-0.068,0.24
1.52517E+12,2018-05-01T10.42.48.064,15.187,1.069,-0.1,0.284
1.52517E+12,2018-05-01T10.42.48.145,15.268,1.427,0.047,0.395
1.52517E+12,2018-05-01T10.42.48.225,15.348,1.15,0.567,-0.046
1.52517E+12,2018-05-01T10.42.48.306,15.429,0.765,0.265,0.008
1.52517E+12,2018-05-01T10.42.48.386,15.509,1.079,0.124,-0.084
1.52517E+12,2018-05-01T10.42.48.468,15.591,0.799,0.328,0.083
1.52517E+12,2018-05-01T10.42.48.549,15.672,1.017,0.169,-0.048
1.52517E+12,2018-05-01T10.42.48.630,15.753,1.044,0.093,-0.021
1.52517E+12,2018-05-01T10.42.48.710,15.833,0.95,0.076,-0.104
1.52517E+12,2018-05-01T10.42.48.791,15.914,0.866,0.068,-0.072
1.52517E+12,2018-05-01T10.42.48.871,15.994,1.32,0.335,0.17
1.52517E+12,2018-05-01T10.42.48.953,16.076,1.205,0.281,0.189
1.52517E+12,2018-05-01T10.42.49.034,16.157,0.878,0.177,0.235
1.52517E+12,2018-05-01T10.42.49.114,16.237,0.805,0.28,0.178
1.52517E+12,2018-05-01T10.42.49.195,16.318,0.975,0.185,0.142
1.52517E+12,2018-05-01T10.42.49.276,16.399,0.951,0.179,0.177
1.52517E+12,2018-05-01T10.42.49.356,16.479,0.881,0.227,0.244
1.52517E+12,2018-05-01T10.42.49.437,16.56,0.964,0.122,0.305
1.52517E+12,2018-05-01T10.42.49.519,16.642,1.008,0.083,0.322
1.52517E+12,2018-05-01T10.42.49.599,16.722,1.026,0.104,0.261
1.52517E+12,2018-05-01T10.42.49.680,16.803,0.918,0.223,0
1.52517E+12,2018-05-01T10.42.49.760,16.883,1.046,0.215,-0.062
1.52517E+12,2018-05-01T10.42.49.841,16.964,1.019,0.073,-0.111
1.52517E+12,2018-05-01T10.42.49.922,17.045,0.951,-0.074,0.008
1.52517E+12,2018-05-01T10.42.50.002,17.125,1.095,-0.08,0.043
1.52517E+12,2018-05-01T10.42.50.084,17.207,0.985,0.038,0.065
1.52517E+12,2018-05-01T10.42.50.165,17.288,0.994,-0.086,0.008
1.52517E+12,2018-05-01T10.42.50.245,17.368,1.066,-0.104,0.072
1.52517E+12,2018-05-01T10.42.50.326,17.449,1.296,-0.109,0.082
1.52517E+12,2018-05-01T10.42.50.406,17.529,1.207,0.448,-0.018
1.52517E+12,2018-05-01T10.42.50.487,17.61,0.754,0.488,0.318
1.52517E+12,2018-05-01T10.42.50.569,17.692,1.107,-0.074,0.123
1.52517E+12,2018-05-01T10.42.50.650,17.773,0.863,0.078,0.208
1.52517E+12,2018-05-01T10.42.50.730,17.853,0.664,0.227,0.262
1.52517E+12,2018-05-01T10.42.50.811,17.934,0.818,-0.103,0.179
1.52517E+12,2018-05-01T10.42.50.891,18.014,1.077,0.119,0.273
1.52517E+12,2018-05-01T10.42.50.972,18.095,1.44,0.015,0.414
1.52517E+12,2018-05-01T10.42.51.052,18.175,1.092,0.202,0.026
1.52517E+12,2018-05-01T10.42.51.135,18.258,0.735,0.351,-0.064
1.52517E+12,2018-05-01T10.42.51.215,18.338,1.092,0.167,-0.011
1.52517E+12,2018-05-01T10.42.51.296,18.419,0.772,0.282,0.069
