epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52516E+12,2018-05-01T09.23.21.085,18.93,1.136,0.27,0.252
1.52516E+12,2018-05-01T09.23.21.167,19.012,0.902,0.554,0.459
1.52516E+12,2018-05-01T09.23.21.248,19.093,0.948,-0.18,0.321
1.52516E+12,2018-05-01T09.23.21.328,19.173,0.697,-0.103,0.35
1.52516E+12,2018-05-01T09.23.21.409,19.254,0.782,0.059,0.405
1.52516E+12,2018-05-01T09.23.21.489,19.334,0.796,-0.15,0.432
1.52516E+12,2018-05-01T09.23.21.571,19.416,1.003,-0.268,0.465
1.52516E+12,2018-05-01T09.23.21.652,19.497,1.447,-0.126,0.634
1.52516E+12,2018-05-01T09.23.21.732,19.577,0.95,0.114,0.218
1.52516E+12,2018-05-01T09.23.21.813,19.658,0.814,0.092,-0.041
1.52516E+12,2018-05-01T09.23.21.895,19.74,0.984,0.173,0.253
1.52516E+12,2018-05-01T09.23.21.976,19.821,0.804,0.14,0.141
1.52516E+12,2018-05-01T09.23.22.056,19.901,0.981,-0.249,0.198
1.52516E+12,2018-05-01T09.23.22.137,19.982,1.004,-0.201,0.188
1.52516E+12,2018-05-01T09.23.22.217,20.062,1.125,-0.137,0.229
1.52516E+12,2018-05-01T09.23.22.299,20.144,1.324,-0.206,0.238
1.52516E+12,2018-05-01T09.23.22.380,20.225,0.957,0.559,0.296
1.52516E+12,2018-05-01T09.23.22.460,20.305,0.964,-0.055,0.355
1.52516E+12,2018-05-01T09.23.22.541,20.386,0.758,-0.23,0.253
1.52516E+12,2018-05-01T09.23.22.623,20.468,0.754,0.016,0.292
1.52516E+12,2018-05-01T09.23.22.704,20.549,0.854,0.061,0.414
1.52516E+12,2018-05-01T09.23.22.784,20.629,0.894,-0.242,0.397
1.52516E+12,2018-05-01T09.23.22.865,20.71,1.106,-0.273,0.606
1.52516E+12,2018-05-01T09.23.22.945,20.79,1.431,0.083,0.142
1.52516E+12,2018-05-01T09.23.23.027,20.872,0.762,0.113,0.162
1.52516E+12,2018-05-01T09.23.23.108,20.953,1.023,-0.115,0.134
1.52516E+12,2018-05-01T09.23.23.188,21.033,0.785,0.191,0.229
1.52516E+12,2018-05-01T09.23.23.269,21.114,0.908,-0.081,0.203
1.52516E+12,2018-05-01T09.23.23.351,21.196,1.043,-0.21,0.199
1.52516E+12,2018-05-01T09.23.23.432,21.277,1.09,-0.21,0.204
1.52516E+12,2018-05-01T09.23.23.512,21.357,1.337,-0.235,0.17
1.52516E+12,2018-05-01T09.23.23.593,21.438,0.983,0.612,0.251
1.52516E+12,2018-05-01T09.23.23.673,21.518,0.974,0.05,0.371
1.52516E+12,2018-05-01T09.23.23.755,21.6,0.854,-0.189,0.269
1.52516E+12,2018-05-01T09.23.23.836,21.681,0.734,0.014,0.283
1.52516E+12,2018-05-01T09.23.23.916,21.761,0.767,-0.034,0.367
1.52516E+12,2018-05-01T09.23.23.997,21.842,0.908,-0.215,0.348
1.52516E+12,2018-05-01T09.23.24.079,21.924,1.024,-0.147,0.591
1.52516E+12,2018-05-01T09.23.24.160,22.005,1.524,-0.007,0.258
1.52516E+12,2018-05-01T09.23.24.240,22.085,0.844,0.185,0.223
1.52516E+12,2018-05-01T09.23.24.321,22.166,0.975,-0.018,0.087
1.52516E+12,2018-05-01T09.23.24.401,22.246,0.717,0.184,0.224
1.52516E+12,2018-05-01T09.23.24.483,22.328,0.917,-0.06,0.188
1.52516E+12,2018-05-01T09.23.24.564,22.409,1.025,-0.41,0.194
1.52516E+12,2018-05-01T09.23.24.645,22.49,1.002,-0.21,0.214
1.52516E+12,2018-05-01T09.23.24.725,22.57,1.317,-0.129,0.292
1.52516E+12,2018-05-01T09.23.24.807,22.652,1.093,0.509,0.318
1.52516E+12,2018-05-01T09.23.24.888,22.733,0.951,0.105,0.481
1.52516E+12,2018-05-01T09.23.24.968,22.813,0.811,-0.292,0.29
1.52516E+12,2018-05-01T09.23.25.049,22.894,0.725,-0.092,0.354
1.52516E+12,2018-05-01T09.23.25.129,22.974,0.853,-0.003,0.435
1.52516E+12,2018-05-01T09.23.25.211,23.056,0.91,-0.186,0.367
1.52516E+12,2018-05-01T09.23.25.292,23.137,1.134,-0.058,0.42
1.52516E+12,2018-05-01T09.23.25.373,23.218,1.223,0.17,0.137
1.52516E+12,2018-05-01T09.23.25.453,23.298,0.889,-0.047,0.065
1.52516E+12,2018-05-01T09.23.25.535,23.38,0.94,0.146,0.112
1.52516E+12,2018-05-01T09.23.25.616,23.461,1.05,0.021,0.172
1.52516E+12,2018-05-01T09.23.25.696,23.541,1.046,-0.052,0.102
1.52516E+12,2018-05-01T09.23.25.777,23.622,0.995,0.096,0.164
